,QC_08,lv1_08,Ground_temperature_08,Ground_temperature_08_1,Temperature_08,Temperature_08_H0,Relative_humidity_08,Sep,QC_20,lv1_20,Ground_temperature_20,Ground_temperature_20_1,Temperature_20,Temperature_20_H0,Relative_humidity_20
2007/06/25,0,31,299.3996666666667,299.39033333333333,47,270.04123,44,/,0,31,304.2823333333333,304.3063333333333,47,270.02228,43
2007/06/26,0,31,299.15599999999995,299.1313333333334,36,268.40247,36,/,0,31,303.308,303.3306666666666,47,272.12317,43
2007/06/27,0,31,297.2563333333333,297.23699999999997,47,269.73853,43,/,0,31,308.68666666666667,308.711,47,275.65445,44
2007/06/28,3,31,298.216,298.24066666666664,47,271.91254,44,/,0,31,302.85699999999997,302.885,31,273.45123,31
2007/06/29,0,0,297.425,297.41,47,268.89548,44,/,0,31,306.947,306.97366666666665,47,275.87799,37
2007/06/30,0,31,300.602,300.57466666666664,44,273.79288,37,/,0,31,302.7183333333333,302.73133333333334,47,276.95007,37
2007/07/01,0,31,295.0296666666667,295.03933333333333,37,273.88049,37,/,0,31,297.94866666666667,297.9663333333333,47,276.22925,37
2007/07/02,0,31,296.74566666666664,296.74333333333334,37,273.6442,37,/,0,8,304.767,304.7783333333333,37,274.93683,37
2007/07/03,0,0,,,44,275.14633,37,/,0,0,,,45,279.50293,37
2007/07/04,2,0,,,37,276.39093,37,/,0,0,,,47,275.71689,37
2007/07/05,2,0,,,47,274.83774,37,/,0,0,,,47,275.39017,37
2007/07/06,0,0,,,47,274.64841,37,/,1,31,299.06533333333334,299.068,,,
2007/07/07,0,0,,,37,273.66119,37,/,0,0,,,47,276.46152,45
2007/07/08,0,0,,,47,274.27771,37,/,0,31,301.11199999999997,301.12733333333335,45,278.77084,45
2007/07/09,0,0,,,37,274.0798,37,/,0,0,,,47,276.71683,38
2007/07/10,0,0,,,47,273.79001,37,/,0,0,,,37,276.34946,37
2007/07/11,2,0,,,47,274.74988,37,/,2,31,298.264,298.284,47,274.24954,37
2007/07/12,3,31,296.3109999999999,296.32466666666664,47,271.21051,44,/,0,31,300.138,300.16266666666667,47,273.64514,44
2007/07/13,0,31,296.47066666666666,296.45899999999995,37,270.00095,37,/,0,31,299.571,299.5776666666667,47,273.27798,44
2007/07/14,0,31,297.9863333333333,297.945,47,269.95419,44,/,0,31,307.354,307.37666666666667,47,276.47653,44
2007/07/15,0,31,299.0566666666667,299.0246666666667,47,274.30859,44,/,1,31,305.9033333333333,305.9376666666667,,,
2007/07/16,1,31,298.1493333333333,298.1206666666667,,,,/,1,31,305.4803333333333,305.50466666666665,,,
2007/07/17,0,31,299.58433333333335,299.5723333333333,47,278.73624,37,/,0,31,304.5953333333333,304.619,47,279.87833,45
2007/07/18,2,31,301.18100000000004,301.1776666666667,47,276.46487,45,/,2,31,296.91133333333335,296.895,47,274.56668,45
2007/07/19,2,31,297.06600000000003,297.068,47,273.44211,45,/,0,31,299.61366666666663,299.62666666666667,47,273.70401,45
2007/07/20,0,31,297.01533333333333,296.986,47,272.71451,45,/,3,31,299.197,299.2213333333333,47,274.4003,44
2007/07/21,0,31,297.2393333333333,297.21466666666663,47,270.82755,44,/,0,31,300.86699999999996,300.89799999999997,47,270.79034,44
2007/07/22,0,31,296.56533333333334,296.5383333333333,44,269.10608,44,/,0,31,301.1673333333333,301.2223333333333,47,273.64059,44
